text,label
http://Telecom Dept-refund-fast.in,scam
http://ICICI-verify-login.com,scam
https://www.irctc.co.in,safe
http://SBI-kyc-update.xyz,scam
http://HDFC-verify-login.com,scam
http://Income Tax-refund-fast.in,scam
http://AXIS-kyc-update.xyz,scam
https://www.uidai.gov.in,safe
http://SBI-kyc-update.xyz,scam
http://Electricity Board-refund-fast.in,scam
https://www.uidai.gov.in,safe
https://www.AXIS.co.in,safe
https://www.irctc.co.in,safe
http://PNB-kyc-update.xyz,scam
http://AXIS-verify-login.com,scam
https://www.irctc.co.in,safe
http://HDFC-verify-login.com,scam
http://Telecom Dept-refund-fast.in,scam
http://Police-refund-fast.in,scam
https://www.irctc.co.in,safe
http://Police-refund-fast.in,scam
http://HDFC-kyc-update.xyz,scam
https://www.PNB.co.in,safe
http://PNB-verify-login.com,scam
https://www.uidai.gov.in,safe
https://www.uidai.gov.in,safe
https://www.HDFC.co.in,safe
https://www.uidai.gov.in,safe
https://www.PNB.co.in,safe
https://www.uidai.gov.in,safe
https://www.PNB.co.in,safe
https://www.irctc.co.in,safe
http://HDFC-verify-login.com,scam
https://www.HDFC.co.in,safe
https://www.uidai.gov.in,safe
http://HDFC-kyc-update.xyz,scam
http://Police-refund-fast.in,scam
http://Police-refund-fast.in,scam
http://PNB-kyc-update.xyz,scam
https://www.irctc.co.in,safe
http://PNB-verify-login.com,scam
http://AXIS-verify-login.com,scam
https://www.irctc.co.in,safe
http://Income Tax-refund-fast.in,scam
http://SBI-verify-login.com,scam
http://AXIS-verify-login.com,scam
https://www.uidai.gov.in,safe
http://PNB-kyc-update.xyz,scam
http://HDFC-verify-login.com,scam
http://SBI-verify-login.com,scam
https://www.irctc.co.in,safe
http://AXIS-kyc-update.xyz,scam
https://www.PNB.co.in,safe
https://www.irctc.co.in,safe
http://Electricity Board-refund-fast.in,scam
http://HDFC-verify-login.com,scam
https://www.SBI.co.in,safe
http://Police-refund-fast.in,scam
https://www.HDFC.co.in,safe
http://HDFC-verify-login.com,scam
http://AXIS-kyc-update.xyz,scam
https://www.irctc.co.in,safe
https://www.SBI.co.in,safe
http://ICICI-verify-login.com,scam
http://Electricity Board-refund-fast.in,scam
https://www.PNB.co.in,safe
http://HDFC-kyc-update.xyz,scam
https://www.irctc.co.in,safe
http://SBI-kyc-update.xyz,scam
http://Telecom Dept-refund-fast.in,scam
http://SBI-verify-login.com,scam
https://www.AXIS.co.in,safe
https://www.irctc.co.in,safe
http://Income Tax-refund-fast.in,scam
https://www.uidai.gov.in,safe
http://PNB-kyc-update.xyz,scam
http://AXIS-verify-login.com,scam
http://Police-refund-fast.in,scam
https://www.SBI.co.in,safe
http://Electricity Board-refund-fast.in,scam
http://Police-refund-fast.in,scam
https://www.PNB.co.in,safe
http://AXIS-verify-login.com,scam
http://HDFC-verify-login.com,scam
https://www.HDFC.co.in,safe
http://SBI-verify-login.com,scam
https://www.PNB.co.in,safe
http://Electricity Board-refund-fast.in,scam
https://www.uidai.gov.in,safe
http://SBI-kyc-update.xyz,scam
http://Income Tax-refund-fast.in,scam
https://www.HDFC.co.in,safe
http://PNB-verify-login.com,scam
http://Police-refund-fast.in,scam
https://www.uidai.gov.in,safe
https://www.AXIS.co.in,safe
